construct,within_method_id,concentration,measure,response,method,nucleotide,experimenter,unique_experiment_id
"W311*,C166S-GFP+SUR",39,1e-4,current,1.01758506466316,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,0.001,current,0.938873055862811,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",40,1e-5,current,0.953980603653552,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,1e-4,current,1.06366831378902,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,0.001,current,0.736436956752495,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",41,1e-5,current,0.987460789113056,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,1e-4,current,0.767273885592299,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,0.001,current,0.177428516647452,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",36,0,fluorescence,1,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,1e-6,fluorescence,1.1363691161877532,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0,fluorescence,1.0140451594808095,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,1e-5,fluorescence,0.9735457239480362,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0,fluorescence,0.9487414662128919,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,1e-4,fluorescence,0.5445444754981185,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0,fluorescence,1.0881391634087605,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0.001,fluorescence,0.08005326948091873,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",36,0,fluorescence,0.9248596637586376,pcf,TNP-ATP,Sam,202
"W311*,C166S-GFP+SUR",37,0,fluorescence,1,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,1e-6,fluorescence,1.0813894569198257,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0,fluorescence,1.0020583091378383,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,1e-5,fluorescence,0.8134049990672609,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0,fluorescence,1.0029695607835476,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,1e-4,fluorescence,0.37642942321374795,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0,fluorescence,1.0108637283873538,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0.001,fluorescence,0.06900085236607745,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0,fluorescence,0.9329727247821887,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",37,0,fluorescence,1.052195324997153,pcf,TNP-ATP,Sam,203
"W311*,C166S-GFP+SUR",38,0,fluorescence,1,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,1e-5,fluorescence,0.54900324455635,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0,fluorescence,1.037308024809919,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,1e-4,fluorescence,0.13142071067927086,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0,fluorescence,0.9375742834706,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0.001,fluorescence,-0.04080019222708309,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0,fluorescence,0.8163943567609251,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,1e-6,fluorescence,0.8784509591369759,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",38,0,fluorescence,1.2353893024969982,pcf,TNP-ATP,Sam,204
"W311*,C166S-GFP+SUR",39,0,fluorescence,1,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,1e-5,fluorescence,0.8131167622666617,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,0,fluorescence,1.0464678036788249,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,1e-4,fluorescence,0.24641592183764893,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,0,fluorescence,0.7843873161975689,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,0.001,fluorescence,0.012871690172217787,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",39,0,fluorescence,1.1697513098509154,pcf,TNP-ATP,Sam,205
"W311*,C166S-GFP+SUR",40,0,fluorescence,1,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,0.001,fluorescence,0.2776498561929168,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,0,fluorescence,0.8780567274951796,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,1e-4,fluorescence,0.5961099919650488,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,0,fluorescence,1.019043905164311,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,1e-5,fluorescence,0.9039564342586723,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",40,0,fluorescence,1.1028993665968174,pcf,TNP-ATP,Sam,206
"W311*,C166S-GFP+SUR",41,0,fluorescence,1,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,0.001,fluorescence,0.15501043851668017,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,0,fluorescence,0.959918084677375,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,1e-4,fluorescence,0.6353619276001093,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,0,fluorescence,1.0678931247501178,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,1e-5,fluorescence,0.8699525362000634,pcf,TNP-ATP,Sam,207
"W311*,C166S-GFP+SUR",41,0,fluorescence,0.9691834214816172,pcf,TNP-ATP,Sam,207
"W311*,E179A-GFP+SUR",42,0.001,current,0.025497824047848,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-4,current,0.19764629794945,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-5,current,0.954083333307805,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-6,current,1.00025985210523,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",43,0.001,current,0.035721487772339,pcf,TNP-ATP,Sam,209
"W311*,E179A-GFP+SUR",43,1e-4,current,0.105967160738283,pcf,TNP-ATP,Sam,209
"W311*,E179A-GFP+SUR",43,1e-5,current,0.850384026575653,pcf,TNP-ATP,Sam,209
"W311*,E179A-GFP+SUR",43,1e-6,current,0.991354932481262,pcf,TNP-ATP,Sam,209
"W311*,E179A-GFP+SUR",44,0.001,current,0.00920257484001,pcf,TNP-ATP,Sam,210
"W311*,E179A-GFP+SUR",44,1e-4,current,0.037798864713575,pcf,TNP-ATP,Sam,210
"W311*,E179A-GFP+SUR",44,1e-5,current,0.536649476583106,pcf,TNP-ATP,Sam,210
"W311*,E179A-GFP+SUR",44,1e-6,current,0.989211788927945,pcf,TNP-ATP,Sam,210
"W311*,E179A-GFP+SUR",45,0.001,current,0.085873624935669,pcf,TNP-ATP,Sam,211
"W311*,E179A-GFP+SUR",45,1e-4,current,0.145837969178242,pcf,TNP-ATP,Sam,211
"W311*,E179A-GFP+SUR",45,1e-5,current,0.709861018001925,pcf,TNP-ATP,Sam,211
"W311*,E179A-GFP+SUR",45,1e-6,current,0.99316071676725,pcf,TNP-ATP,Sam,211
"W311*,E179A-GFP+SUR",46,0.001,current,0.027926404250149,pcf,TNP-ATP,Sam,212
"W311*,E179A-GFP+SUR",46,1e-4,current,0.108248270632723,pcf,TNP-ATP,Sam,212
"W311*,E179A-GFP+SUR",46,1e-5,current,0.936567001100157,pcf,TNP-ATP,Sam,212
"W311*,E179A-GFP+SUR",46,1e-6,current,0.995457384102589,pcf,TNP-ATP,Sam,212
"W311*,E179A-GFP+SUR",47,0.001,current,0.012834461856732,pcf,TNP-ATP,Sam,213
"W311*,E179A-GFP+SUR",47,1e-4,current,0.07581203591676,pcf,TNP-ATP,Sam,213
"W311*,E179A-GFP+SUR",47,1e-5,current,0.952909083412948,pcf,TNP-ATP,Sam,213
"W311*,E179A-GFP+SUR",47,1e-6,current,0.999391555065396,pcf,TNP-ATP,Sam,213
"W311*,E179A-GFP+SUR",42,0,fluorescence,1,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,0.001,fluorescence,0.3126268349049538,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,0,fluorescence,0.9949048830069275,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-4,fluorescence,0.6635978819715629,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,0,fluorescence,0.979799426260782,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-5,fluorescence,0.8442370972770142,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,0,fluorescence,1.0499386965524202,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,1e-6,fluorescence,1.0112690924391474,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",42,0,fluorescence,0.9710480620287265,pcf,TNP-ATP,Sam,208
"W311*,E179A-GFP+SUR",43,0,fluorescence,1,pcf,TNP-ATP,Sam,209
