n,concentration,raw_current,wash_current,barium_current,response,construct,measure,date,cumulative_exposure,dye,raw_intensity,corrected_intensity,method,unique_experiment_id
2,0,NA,NA,NA,1.0159700680696477,W311*-GFP+SUR,fluorescence,2018-05-24,4000,507.9542876453923,36.69776590741114,50.11048967482842,pcf,2
2,0,NA,NA,NA,0.986337171597129,W311*-GFP+SUR,fluorescence,2018-05-24,4000,560.892883758269,7.8566014916347475,10.419045435371407,pcf,2
2,1e-5,NA,NA,NA,0.8645748053658081,W311*-GFP+SUR,fluorescence,2018-05-24,5000,471.7451145510986,11.161338439830676,22.249065518709198,pcf,2
2,1e-5,NA,NA,NA,0.8345370203587109,W311*-GFP+SUR,fluorescence,2018-05-24,5000,507.9542876453923,28.68970637640261,41.16170353463646,pcf,2
2,1e-5,NA,NA,NA,0.7425007614980131,W311*-GFP+SUR,fluorescence,2018-05-24,5000,560.892883758269,5.611375394745668,7.843310981901745,pcf,2
2,0,NA,NA,NA,1.026926018951361,W311*-GFP+SUR,fluorescence,2018-05-24,6000,471.7451145510986,12.309739299872327,26.427029953583727,pcf,2
2,0,NA,NA,NA,1.0104109845840326,W311*-GFP+SUR,fluorescence,2018-05-24,6000,507.9542876453923,33.35197876772157,49.836300105310194,pcf,2
2,0,NA,NA,NA,1.0679803774303578,W311*-GFP+SUR,fluorescence,2018-05-24,6000,560.892883758269,7.7064570315124685,11.281472904964167,pcf,2
2,1e-4,NA,NA,NA,0.5049580953233775,W311*-GFP+SUR,fluorescence,2018-05-24,7000,471.7451145510986,5.711042800510646,12.994648557100717,pcf,2
2,1e-4,NA,NA,NA,0.42351933878053294,W311*-GFP+SUR,fluorescence,2018-05-24,7000,507.9542876453923,13.52381576295101,20.889160143640353,pcf,2
2,1e-4,NA,NA,NA,-0.6335288854185044,W311*-GFP+SUR,fluorescence,2018-05-24,7000,560.892883758269,-4.3904353960895,-6.692200630649757,pcf,2
2,0,NA,NA,NA,0.9653677650728726,W311*-GFP+SUR,fluorescence,2018-05-24,8000,471.7451145510986,10.4386346838675,24.842882907822514,pcf,2
2,0,NA,NA,NA,0.9871967361917282,W311*-GFP+SUR,fluorescence,2018-05-24,8000,507.9542876453923,30.688154269972454,48.691308347254065,pcf,2
2,0,NA,NA,NA,0.9587485662172436,W311*-GFP+SUR,fluorescence,2018-05-24,8000,560.892883758269,6.414936504736935,10.127616762470325,pcf,2
