n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
2,0.01,NA,NA,NA,0.535964084938163,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,26
2,0.001,NA,NA,NA,0.828919351720485,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,26
2,0.0001,NA,NA,NA,0.995464427954724,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,26
2,1E-05,NA,NA,NA,0.988290558514789,WT-GFP+TMD0_232,ATP,patch_clamp,current,NA,26
4,0.001,NA,NA,NA,0.121617289741508,WT-GFP,TNP-ATP,patch_clamp,current,NA,27
4,0.0003,NA,NA,NA,0.533299364171401,WT-GFP,TNP-ATP,patch_clamp,current,NA,27
4,0.0001,NA,NA,NA,0.714763013857039,WT-GFP,TNP-ATP,patch_clamp,current,NA,27
4,3E-05,NA,NA,NA,1.02756681551917,WT-GFP,TNP-ATP,patch_clamp,current,NA,27
5,0.001,NA,NA,NA,0.131456388056211,WT-GFP,TNP-ATP,patch_clamp,current,NA,28
5,0.0003,NA,NA,NA,0.562616641550599,WT-GFP,TNP-ATP,patch_clamp,current,NA,28
5,0.0001,NA,NA,NA,0.881253870614352,WT-GFP,TNP-ATP,patch_clamp,current,NA,28
5,3E-05,NA,NA,NA,0.980874524241647,WT-GFP,TNP-ATP,patch_clamp,current,NA,28
1,1E-06,NA,NA,NA,0.995,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,29
1,1E-05,NA,NA,NA,0.921,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,29
1,0.0001,NA,NA,NA,0.642,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,29
1,0.001,NA,NA,NA,0.282,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,29
1,0.01,NA,NA,NA,0.035,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,29
2,1E-06,NA,NA,NA,0.991,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,30
2,1E-05,NA,NA,NA,0.95,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,30
2,0.0001,NA,NA,NA,0.622,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,30
2,0.001,NA,NA,NA,0.19,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,30
2,0.01,NA,NA,NA,0.016,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,30
3,1E-06,NA,NA,NA,0.904,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,31
3,1E-05,NA,NA,NA,0.722,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,31
3,0.0001,NA,NA,NA,0.336,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,31
3,0.001,NA,NA,NA,0.111,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,31
3,0.01,NA,NA,NA,0.026,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,31
4,1E-06,NA,NA,NA,0.999,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,32
4,1E-05,NA,NA,NA,0.939,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,32
4,0.0001,NA,NA,NA,0.563,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,32
4,0.001,NA,NA,NA,0.188,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,32
4,0.01,NA,NA,NA,0.049,W311*-GFP+SUR,MG-ATP,patch_clamp,current,NA,32
1,1E-06,NA,NA,NA,0.944,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,33
1,1E-05,NA,NA,NA,0.595,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,33
1,0.0001,NA,NA,NA,0.092,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,33
1,0.001,NA,NA,NA,0.013,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,33
1,0.01,NA,NA,NA,0.0037,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,33
2,1E-06,NA,NA,NA,1.01,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,34
2,1E-05,NA,NA,NA,0.683,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,34
2,0.0001,NA,NA,NA,0.194,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,34
2,0.001,NA,NA,NA,0.035,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,34
2,0.01,NA,NA,NA,0.011,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,34
3,1E-06,NA,NA,NA,0.962,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,35
3,1E-05,NA,NA,NA,0.687,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,35
3,0.0001,NA,NA,NA,0.224,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,35
3,0.001,NA,NA,NA,0.044,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,35
3,0.01,NA,NA,NA,0.0038,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,35
4,1E-06,NA,NA,NA,0.975,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,36
4,1E-05,NA,NA,NA,0.713,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,36
4,0.0001,NA,NA,NA,0.226,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,36
4,0.001,NA,NA,NA,0.028,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,36
4,0.01,NA,NA,NA,0.0032,WT-GFP+SUR,MG-ATP,patch_clamp,current,NA,36
1,0.001,NA,NA,NA,0.012824990433914,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,37
1,0.0001,NA,NA,NA,0.089673186538124,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,37
1,1E-05,NA,NA,NA,0.843255059195645,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,37
1,1E-06,NA,NA,NA,0.997695998536998,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,37
2,0.001,NA,NA,NA,0.036985238425656,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,38
2,0.0001,NA,NA,NA,0.123618107973124,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,38
2,1E-05,NA,NA,NA,0.622623578671678,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,38
2,1E-06,NA,NA,NA,0.967115467233882,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,38
3,0.001,NA,NA,NA,0.009142163483425,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,39
3,0.0001,NA,NA,NA,0.050107418893373,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,39
3,1E-05,NA,NA,NA,0.895706425564053,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,39
3,1E-06,NA,NA,NA,0.982456676710729,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,39
4,0.001,NA,NA,NA,0.018787225612778,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,40
4,0.0001,NA,NA,NA,0.027137164186263,E179A-GFP+SUR,TNP-ATP,patch_clamp,current,NA,40
